task_type,complexity,actions,base_minutes
Настройка акций,Low,1,60
Настройка акций,Low,3,90
Настройка акций,Low,5,120
Настройка акций,Medium,1,120
Настройка акций,Medium,3,180
Настройка акций,Medium,5,240
Настройка акций,Medium,10,360
Настройка акций,High,1,240
Настройка акций,High,3,360
Настройка акций,High,5,480
Настройка акций,High,10,600
Инцидент,Low,N/A,30
Инцидент,Medium,N/A,90
Инцидент,High,N/A,240
Запрос на доработку,Low,N/A,480
Запрос на доработку,Medium,N/A,960
Запрос на доработку,High,N/A,1920
Прочие работы,Low,N/A,60
Прочие работы,Medium,N/A,180
Прочие работы,High,N/A,480
Консультация,Low,N/A,30
Консультация,Medium,N/A,60
Консультация,High,N/A,120
Аналитика,Low,N/A,240
Аналитика,Medium,N/A,480
Аналитика,High,N/A,960
Тестирование,Low,N/A,120
Тестирование,Medium,N/A,360
Тестирование,High,N/A,720
